Loaded 4000 images from jk_zfls/round0_train
Loaded 2400 images from jk_zfls/round0_eval
Epoch: 0, Batch: 0, Loss: 3.0791
Epoch: 0, Batch: 10, Loss: 1.0629
Epoch: 0, Batch: 20, Loss: 0.3801
Epoch: 0, Batch: 30, Loss: 0.1427

Incorrect predictions:
Sample 1: True label = 0, Predicted = 18
Sample 905: True label = 9, Predicted = 11
Sample 906: True label = 9, Predicted = 11
Sample 907: True label = 9, Predicted = 11
Sample 908: True label = 9, Predicted = 11
Sample 909: True label = 9, Predicted = 11
Sample 910: True label = 9, Predicted = 11
Sample 911: True label = 9, Predicted = 11
Sample 912: True label = 9, Predicted = 11
Sample 913: True label = 9, Predicted = 6
Sample 914: True label = 9, Predicted = 11
Sample 915: True label = 9, Predicted = 11
Sample 916: True label = 9, Predicted = 11
Sample 917: True label = 9, Predicted = 11
Sample 918: True label = 9, Predicted = 11
Sample 919: True label = 9, Predicted = 11
Sample 920: True label = 9, Predicted = 11
Sample 921: True label = 9, Predicted = 11
Sample 922: True label = 9, Predicted = 11
Sample 923: True label = 9, Predicted = 11
Sample 924: True label = 9, Predicted = 11
Sample 925: True label = 9, Predicted = 11
Sample 926: True label = 9, Predicted = 11
Sample 927: True label = 9, Predicted = 11
Sample 928: True label = 9, Predicted = 11
Sample 929: True label = 9, Predicted = 11
Sample 930: True label = 9, Predicted = 6
Sample 931: True label = 9, Predicted = 11
Sample 932: True label = 9, Predicted = 11
Sample 933: True label = 9, Predicted = 11
Sample 934: True label = 9, Predicted = 11
Sample 935: True label = 9, Predicted = 11
Sample 936: True label = 9, Predicted = 6
Sample 937: True label = 9, Predicted = 11
Sample 938: True label = 9, Predicted = 11
Sample 939: True label = 9, Predicted = 11
Sample 940: True label = 9, Predicted = 11
Sample 941: True label = 9, Predicted = 11
Sample 942: True label = 9, Predicted = 11
Sample 943: True label = 9, Predicted = 11
Sample 944: True label = 9, Predicted = 11
Sample 945: True label = 9, Predicted = 11
Sample 946: True label = 9, Predicted = 11
Sample 947: True label = 9, Predicted = 11
Sample 948: True label = 9, Predicted = 11
Sample 949: True label = 9, Predicted = 11
Sample 950: True label = 9, Predicted = 11
Sample 951: True label = 9, Predicted = 11
Sample 952: True label = 9, Predicted = 11
Sample 953: True label = 9, Predicted = 11
Sample 954: True label = 9, Predicted = 6
Sample 955: True label = 9, Predicted = 11
Sample 956: True label = 9, Predicted = 11
Sample 957: True label = 9, Predicted = 11
Sample 958: True label = 9, Predicted = 6
Sample 959: True label = 9, Predicted = 11
Sample 960: True label = 9, Predicted = 11
Sample 961: True label = 9, Predicted = 11
Sample 962: True label = 9, Predicted = 11
Sample 963: True label = 9, Predicted = 11
Sample 964: True label = 9, Predicted = 11
Sample 965: True label = 9, Predicted = 11
Sample 966: True label = 9, Predicted = 11
Sample 967: True label = 9, Predicted = 11
Sample 968: True label = 9, Predicted = 11
Sample 969: True label = 9, Predicted = 11
Sample 970: True label = 9, Predicted = 11
Sample 971: True label = 9, Predicted = 11
Sample 972: True label = 9, Predicted = 11
Sample 973: True label = 9, Predicted = 11
Sample 974: True label = 9, Predicted = 11
Sample 975: True label = 9, Predicted = 11
Sample 976: True label = 9, Predicted = 11
Sample 977: True label = 9, Predicted = 6
Sample 978: True label = 9, Predicted = 11
Sample 979: True label = 9, Predicted = 11
Sample 980: True label = 9, Predicted = 11
Sample 981: True label = 9, Predicted = 11
Sample 982: True label = 9, Predicted = 11
Sample 983: True label = 9, Predicted = 11
Sample 984: True label = 9, Predicted = 6
Sample 985: True label = 9, Predicted = 11
Sample 986: True label = 9, Predicted = 11
Sample 987: True label = 9, Predicted = 11
Sample 988: True label = 9, Predicted = 11
Sample 989: True label = 9, Predicted = 11
Sample 990: True label = 9, Predicted = 11
Sample 991: True label = 9, Predicted = 11
Sample 992: True label = 9, Predicted = 6
Sample 993: True label = 9, Predicted = 11
Sample 994: True label = 9, Predicted = 11
Sample 995: True label = 9, Predicted = 11
Sample 996: True label = 9, Predicted = 11
Sample 997: True label = 9, Predicted = 11
Sample 998: True label = 9, Predicted = 6
Sample 999: True label = 9, Predicted = 11
Sample 1000: True label = 10, Predicted = 11
Sample 1002: True label = 10, Predicted = 11
Sample 1006: True label = 10, Predicted = 11
Sample 1008: True label = 10, Predicted = 11
Sample 1010: True label = 10, Predicted = 11
Sample 1017: True label = 10, Predicted = 11
Sample 1019: True label = 10, Predicted = 11
Sample 1021: True label = 10, Predicted = 11
Sample 1022: True label = 10, Predicted = 11
Sample 1028: True label = 10, Predicted = 11
Sample 1029: True label = 10, Predicted = 11
Sample 1030: True label = 10, Predicted = 11
Sample 1031: True label = 10, Predicted = 11
Sample 1033: True label = 10, Predicted = 11
Sample 1035: True label = 10, Predicted = 11
Sample 1036: True label = 10, Predicted = 11
Sample 1037: True label = 10, Predicted = 11
Sample 1041: True label = 10, Predicted = 11
Sample 1043: True label = 10, Predicted = 11
Sample 1044: True label = 10, Predicted = 11
Sample 1049: True label = 10, Predicted = 11
Sample 1052: True label = 10, Predicted = 11
Sample 1056: True label = 10, Predicted = 11
Sample 1059: True label = 10, Predicted = 11
Sample 1066: True label = 10, Predicted = 11
Sample 1072: True label = 10, Predicted = 11
Sample 1074: True label = 10, Predicted = 11
Sample 1075: True label = 10, Predicted = 11
Sample 1078: True label = 10, Predicted = 11
Sample 1079: True label = 10, Predicted = 11
Sample 1081: True label = 10, Predicted = 11
Sample 1090: True label = 10, Predicted = 11
Sample 1091: True label = 10, Predicted = 11
Sample 1093: True label = 10, Predicted = 11
Sample 1096: True label = 10, Predicted = 11
Sample 1200: True label = 12, Predicted = 7
Sample 1201: True label = 12, Predicted = 11
Sample 1202: True label = 12, Predicted = 11
Sample 1203: True label = 12, Predicted = 7
Sample 1204: True label = 12, Predicted = 11
Sample 1205: True label = 12, Predicted = 10
Sample 1206: True label = 12, Predicted = 11
Sample 1207: True label = 12, Predicted = 10
Sample 1208: True label = 12, Predicted = 10
Sample 1209: True label = 12, Predicted = 10
Sample 1210: True label = 12, Predicted = 11
Sample 1211: True label = 12, Predicted = 11
Sample 1212: True label = 12, Predicted = 11
Sample 1213: True label = 12, Predicted = 11
Sample 1214: True label = 12, Predicted = 11
Sample 1215: True label = 12, Predicted = 10
Sample 1216: True label = 12, Predicted = 11
Sample 1217: True label = 12, Predicted = 11
Sample 1218: True label = 12, Predicted = 11
Sample 1219: True label = 12, Predicted = 11
Sample 1220: True label = 12, Predicted = 11
Sample 1221: True label = 12, Predicted = 11
Sample 1222: True label = 12, Predicted = 11
Sample 1223: True label = 12, Predicted = 11
Sample 1224: True label = 12, Predicted = 11
Sample 1225: True label = 12, Predicted = 7
Sample 1226: True label = 12, Predicted = 10
Sample 1227: True label = 12, Predicted = 11
Sample 1228: True label = 12, Predicted = 7
Sample 1229: True label = 12, Predicted = 10
Sample 1230: True label = 12, Predicted = 11
Sample 1231: True label = 12, Predicted = 7
Sample 1232: True label = 12, Predicted = 11
Sample 1233: True label = 12, Predicted = 10
Sample 1234: True label = 12, Predicted = 11
Sample 1235: True label = 12, Predicted = 10
Sample 1236: True label = 12, Predicted = 7
Sample 1237: True label = 12, Predicted = 10
Sample 1238: True label = 12, Predicted = 11
Sample 1239: True label = 12, Predicted = 11
Sample 1240: True label = 12, Predicted = 7
Sample 1241: True label = 12, Predicted = 11
Sample 1242: True label = 12, Predicted = 11
Sample 1243: True label = 12, Predicted = 11
Sample 1244: True label = 12, Predicted = 11
Sample 1245: True label = 12, Predicted = 11
Sample 1246: True label = 12, Predicted = 11
Sample 1247: True label = 12, Predicted = 11
Sample 1248: True label = 12, Predicted = 11
Sample 1249: True label = 12, Predicted = 11
Sample 1250: True label = 12, Predicted = 11
Sample 1251: True label = 12, Predicted = 11
Sample 1252: True label = 12, Predicted = 10
Sample 1253: True label = 12, Predicted = 10
Sample 1254: True label = 12, Predicted = 10
Sample 1255: True label = 12, Predicted = 11
Sample 1256: True label = 12, Predicted = 10
Sample 1257: True label = 12, Predicted = 11
Sample 1258: True label = 12, Predicted = 7
Sample 1259: True label = 12, Predicted = 11
Sample 1260: True label = 12, Predicted = 7
Sample 1261: True label = 12, Predicted = 11
Sample 1262: True label = 12, Predicted = 7
Sample 1263: True label = 12, Predicted = 11
Sample 1264: True label = 12, Predicted = 11
Sample 1265: True label = 12, Predicted = 10
Sample 1266: True label = 12, Predicted = 10
Sample 1267: True label = 12, Predicted = 11
Sample 1268: True label = 12, Predicted = 11
Sample 1269: True label = 12, Predicted = 10
Sample 1270: True label = 12, Predicted = 11
Sample 1271: True label = 12, Predicted = 7
Sample 1272: True label = 12, Predicted = 11
Sample 1273: True label = 12, Predicted = 7
Sample 1274: True label = 12, Predicted = 11
Sample 1275: True label = 12, Predicted = 10
Sample 1276: True label = 12, Predicted = 7
Sample 1277: True label = 12, Predicted = 11
Sample 1278: True label = 12, Predicted = 7
Sample 1279: True label = 12, Predicted = 11
Sample 1280: True label = 12, Predicted = 10
Sample 1281: True label = 12, Predicted = 7
Sample 1282: True label = 12, Predicted = 11
Sample 1283: True label = 12, Predicted = 10
Sample 1284: True label = 12, Predicted = 11
Sample 1285: True label = 12, Predicted = 11
Sample 1286: True label = 12, Predicted = 11
Sample 1287: True label = 12, Predicted = 11
Sample 1288: True label = 12, Predicted = 11
Sample 1289: True label = 12, Predicted = 11
Sample 1290: True label = 12, Predicted = 11
Sample 1291: True label = 12, Predicted = 10
Sample 1292: True label = 12, Predicted = 11
Sample 1293: True label = 12, Predicted = 11
Sample 1294: True label = 12, Predicted = 11
Sample 1295: True label = 12, Predicted = 10
Sample 1296: True label = 12, Predicted = 11
Sample 1297: True label = 12, Predicted = 7
Sample 1298: True label = 12, Predicted = 11
Sample 1299: True label = 12, Predicted = 11
Sample 1300: True label = 13, Predicted = 11
Sample 1301: True label = 13, Predicted = 10
Sample 1302: True label = 13, Predicted = 11
Sample 1303: True label = 13, Predicted = 11
Sample 1304: True label = 13, Predicted = 10
Sample 1305: True label = 13, Predicted = 11
Sample 1306: True label = 13, Predicted = 10
Sample 1307: True label = 13, Predicted = 11
Sample 1308: True label = 13, Predicted = 10
Sample 1309: True label = 13, Predicted = 11
Sample 1310: True label = 13, Predicted = 10
Sample 1311: True label = 13, Predicted = 10
Sample 1312: True label = 13, Predicted = 10
Sample 1313: True label = 13, Predicted = 11
Sample 1314: True label = 13, Predicted = 10
Sample 1315: True label = 13, Predicted = 10
Sample 1316: True label = 13, Predicted = 10
Sample 1317: True label = 13, Predicted = 10
Sample 1318: True label = 13, Predicted = 10
Sample 1319: True label = 13, Predicted = 10
Sample 1320: True label = 13, Predicted = 11
Sample 1321: True label = 13, Predicted = 10
Sample 1322: True label = 13, Predicted = 10
Sample 1323: True label = 13, Predicted = 10
Sample 1324: True label = 13, Predicted = 10
Sample 1325: True label = 13, Predicted = 10
Sample 1326: True label = 13, Predicted = 10
Sample 1327: True label = 13, Predicted = 11
Sample 1328: True label = 13, Predicted = 10
Sample 1329: True label = 13, Predicted = 10
Sample 1330: True label = 13, Predicted = 10
Sample 1331: True label = 13, Predicted = 10
Sample 1332: True label = 13, Predicted = 11
Sample 1333: True label = 13, Predicted = 10
Sample 1334: True label = 13, Predicted = 10
Sample 1335: True label = 13, Predicted = 11
Sample 1336: True label = 13, Predicted = 10
Sample 1337: True label = 13, Predicted = 10
Sample 1338: True label = 13, Predicted = 11
Sample 1339: True label = 13, Predicted = 10
Sample 1340: True label = 13, Predicted = 11
Sample 1341: True label = 13, Predicted = 10
Sample 1342: True label = 13, Predicted = 10
Sample 1343: True label = 13, Predicted = 10
Sample 1344: True label = 13, Predicted = 10
Sample 1345: True label = 13, Predicted = 11
Sample 1346: True label = 13, Predicted = 11
Sample 1347: True label = 13, Predicted = 10
Sample 1348: True label = 13, Predicted = 10
Sample 1349: True label = 13, Predicted = 10
Sample 1350: True label = 13, Predicted = 10
Sample 1351: True label = 13, Predicted = 10
Sample 1352: True label = 13, Predicted = 10
Sample 1353: True label = 13, Predicted = 11
Sample 1354: True label = 13, Predicted = 11
Sample 1355: True label = 13, Predicted = 10
Sample 1356: True label = 13, Predicted = 10
Sample 1357: True label = 13, Predicted = 10
Sample 1358: True label = 13, Predicted = 10
Sample 1359: True label = 13, Predicted = 11
Sample 1360: True label = 13, Predicted = 11
Sample 1361: True label = 13, Predicted = 10
Sample 1362: True label = 13, Predicted = 11
Sample 1363: True label = 13, Predicted = 10
Sample 1364: True label = 13, Predicted = 10
Sample 1365: True label = 13, Predicted = 10
Sample 1366: True label = 13, Predicted = 11
Sample 1367: True label = 13, Predicted = 11
Sample 1368: True label = 13, Predicted = 10
Sample 1369: True label = 13, Predicted = 10
Sample 1370: True label = 13, Predicted = 10
Sample 1371: True label = 13, Predicted = 10
Sample 1372: True label = 13, Predicted = 10
Sample 1373: True label = 13, Predicted = 10
Sample 1374: True label = 13, Predicted = 11
Sample 1375: True label = 13, Predicted = 10
Sample 1376: True label = 13, Predicted = 10
Sample 1377: True label = 13, Predicted = 11
Sample 1378: True label = 13, Predicted = 10
Sample 1379: True label = 13, Predicted = 11
Sample 1380: True label = 13, Predicted = 11
Sample 1381: True label = 13, Predicted = 10
Sample 1382: True label = 13, Predicted = 10
Sample 1383: True label = 13, Predicted = 10
Sample 1384: True label = 13, Predicted = 11
Sample 1385: True label = 13, Predicted = 10
Sample 1386: True label = 13, Predicted = 10
Sample 1387: True label = 13, Predicted = 10
Sample 1388: True label = 13, Predicted = 10
Sample 1389: True label = 13, Predicted = 11
Sample 1390: True label = 13, Predicted = 11
Sample 1391: True label = 13, Predicted = 10
Sample 1392: True label = 13, Predicted = 10
Sample 1393: True label = 13, Predicted = 10
Sample 1394: True label = 13, Predicted = 10
Sample 1395: True label = 13, Predicted = 10
Sample 1396: True label = 13, Predicted = 10
Sample 1397: True label = 13, Predicted = 11
Sample 1398: True label = 13, Predicted = 11
Sample 1399: True label = 13, Predicted = 10
Sample 1400: True label = 14, Predicted = 6
Sample 1401: True label = 14, Predicted = 6
Sample 1402: True label = 14, Predicted = 6
Sample 1403: True label = 14, Predicted = 6
Sample 1404: True label = 14, Predicted = 6
Sample 1405: True label = 14, Predicted = 18
Sample 1409: True label = 14, Predicted = 6
Sample 1411: True label = 14, Predicted = 15
Sample 1414: True label = 14, Predicted = 6
Sample 1416: True label = 14, Predicted = 6
Sample 1419: True label = 14, Predicted = 6
Sample 1420: True label = 14, Predicted = 6
Sample 1422: True label = 14, Predicted = 6
Sample 1426: True label = 14, Predicted = 6
Sample 1427: True label = 14, Predicted = 6
Sample 1428: True label = 14, Predicted = 6
Sample 1432: True label = 14, Predicted = 6
Sample 1433: True label = 14, Predicted = 3
Sample 1434: True label = 14, Predicted = 6
Sample 1436: True label = 14, Predicted = 6
Sample 1437: True label = 14, Predicted = 6
Sample 1438: True label = 14, Predicted = 6
Sample 1439: True label = 14, Predicted = 18
Sample 1440: True label = 14, Predicted = 6
Sample 1442: True label = 14, Predicted = 3
Sample 1443: True label = 14, Predicted = 6
Sample 1444: True label = 14, Predicted = 6
Sample 1445: True label = 14, Predicted = 6
Sample 1446: True label = 14, Predicted = 6
Sample 1447: True label = 14, Predicted = 6
Sample 1450: True label = 14, Predicted = 6
Sample 1451: True label = 14, Predicted = 11
Sample 1452: True label = 14, Predicted = 6
Sample 1453: True label = 14, Predicted = 6
Sample 1454: True label = 14, Predicted = 6
Sample 1456: True label = 14, Predicted = 3
Sample 1458: True label = 14, Predicted = 6
Sample 1459: True label = 14, Predicted = 6
Sample 1460: True label = 14, Predicted = 6
Sample 1465: True label = 14, Predicted = 6
Sample 1466: True label = 14, Predicted = 6
Sample 1470: True label = 14, Predicted = 6
Sample 1474: True label = 14, Predicted = 6
Sample 1475: True label = 14, Predicted = 6
Sample 1476: True label = 14, Predicted = 6
Sample 1478: True label = 14, Predicted = 6
Sample 1479: True label = 14, Predicted = 6
Sample 1480: True label = 14, Predicted = 6
Sample 1482: True label = 14, Predicted = 6
Sample 1484: True label = 14, Predicted = 6
Sample 1486: True label = 14, Predicted = 3
Sample 1488: True label = 14, Predicted = 3
Sample 1489: True label = 14, Predicted = 3
Sample 1490: True label = 14, Predicted = 6
Sample 1492: True label = 14, Predicted = 6
Sample 1493: True label = 14, Predicted = 18
Sample 1494: True label = 14, Predicted = 6
Sample 1495: True label = 14, Predicted = 6
Sample 1499: True label = 14, Predicted = 6
Sample 1500: True label = 15, Predicted = 3
Sample 1501: True label = 15, Predicted = 6
Sample 1502: True label = 15, Predicted = 3
Sample 1503: True label = 15, Predicted = 3
Sample 1504: True label = 15, Predicted = 6
Sample 1505: True label = 15, Predicted = 6
Sample 1506: True label = 15, Predicted = 14
Sample 1507: True label = 15, Predicted = 3
Sample 1508: True label = 15, Predicted = 3
Sample 1509: True label = 15, Predicted = 6
Sample 1510: True label = 15, Predicted = 3
Sample 1511: True label = 15, Predicted = 11
Sample 1512: True label = 15, Predicted = 3
Sample 1513: True label = 15, Predicted = 3
Sample 1514: True label = 15, Predicted = 3
Sample 1516: True label = 15, Predicted = 3
Sample 1517: True label = 15, Predicted = 3
Sample 1518: True label = 15, Predicted = 3
Sample 1519: True label = 15, Predicted = 6
Sample 1520: True label = 15, Predicted = 6
Sample 1522: True label = 15, Predicted = 3
Sample 1523: True label = 15, Predicted = 3
Sample 1524: True label = 15, Predicted = 6
Sample 1525: True label = 15, Predicted = 6
Sample 1526: True label = 15, Predicted = 3
Sample 1528: True label = 15, Predicted = 6
Sample 1529: True label = 15, Predicted = 3
Sample 1530: True label = 15, Predicted = 3
Sample 1531: True label = 15, Predicted = 6
Sample 1532: True label = 15, Predicted = 14
Sample 1533: True label = 15, Predicted = 6
Sample 1534: True label = 15, Predicted = 3
Sample 1535: True label = 15, Predicted = 3
Sample 1536: True label = 15, Predicted = 18
Sample 1537: True label = 15, Predicted = 6
Sample 1538: True label = 15, Predicted = 3
Sample 1539: True label = 15, Predicted = 11
Sample 1540: True label = 15, Predicted = 3
Sample 1542: True label = 15, Predicted = 11
Sample 1543: True label = 15, Predicted = 6
Sample 1544: True label = 15, Predicted = 14
Sample 1546: True label = 15, Predicted = 3
Sample 1548: True label = 15, Predicted = 3
Sample 1549: True label = 15, Predicted = 3
Sample 1550: True label = 15, Predicted = 3
Sample 1551: True label = 15, Predicted = 3
Sample 1552: True label = 15, Predicted = 18
Sample 1553: True label = 15, Predicted = 6
Sample 1555: True label = 15, Predicted = 3
Sample 1556: True label = 15, Predicted = 3
Sample 1557: True label = 15, Predicted = 3
Sample 1558: True label = 15, Predicted = 3
Sample 1559: True label = 15, Predicted = 6
Sample 1560: True label = 15, Predicted = 3
Sample 1561: True label = 15, Predicted = 3
Sample 1562: True label = 15, Predicted = 3
Sample 1563: True label = 15, Predicted = 3
Sample 1564: True label = 15, Predicted = 3
Sample 1565: True label = 15, Predicted = 3
Sample 1566: True label = 15, Predicted = 3
Sample 1567: True label = 15, Predicted = 3
Sample 1568: True label = 15, Predicted = 11
Sample 1569: True label = 15, Predicted = 3
Sample 1571: True label = 15, Predicted = 6
Sample 1572: True label = 15, Predicted = 3
Sample 1573: True label = 15, Predicted = 6
Sample 1574: True label = 15, Predicted = 6
Sample 1575: True label = 15, Predicted = 6
Sample 1576: True label = 15, Predicted = 3
Sample 1577: True label = 15, Predicted = 6
Sample 1578: True label = 15, Predicted = 6
Sample 1579: True label = 15, Predicted = 6
Sample 1581: True label = 15, Predicted = 3
Sample 1582: True label = 15, Predicted = 3
Sample 1583: True label = 15, Predicted = 3
Sample 1584: True label = 15, Predicted = 3
Sample 1585: True label = 15, Predicted = 3
Sample 1586: True label = 15, Predicted = 3
Sample 1587: True label = 15, Predicted = 6
Sample 1589: True label = 15, Predicted = 3
Sample 1590: True label = 15, Predicted = 3
Sample 1593: True label = 15, Predicted = 3
Sample 1595: True label = 15, Predicted = 3
Sample 1596: True label = 15, Predicted = 11
Sample 1597: True label = 15, Predicted = 3
Sample 1598: True label = 15, Predicted = 3
Sample 1599: True label = 15, Predicted = 3
Sample 1600: True label = 16, Predicted = 7
Sample 1601: True label = 16, Predicted = 7
Sample 1602: True label = 16, Predicted = 7
Sample 1603: True label = 16, Predicted = 7
Sample 1604: True label = 16, Predicted = 7
Sample 1605: True label = 16, Predicted = 7
Sample 1606: True label = 16, Predicted = 7
Sample 1607: True label = 16, Predicted = 7
Sample 1608: True label = 16, Predicted = 7
Sample 1609: True label = 16, Predicted = 7
Sample 1610: True label = 16, Predicted = 7
Sample 1611: True label = 16, Predicted = 7
Sample 1612: True label = 16, Predicted = 7
Sample 1613: True label = 16, Predicted = 7
Sample 1614: True label = 16, Predicted = 7
Sample 1615: True label = 16, Predicted = 7
Sample 1616: True label = 16, Predicted = 6
Sample 1617: True label = 16, Predicted = 7
Sample 1618: True label = 16, Predicted = 7
Sample 1619: True label = 16, Predicted = 11
Sample 1620: True label = 16, Predicted = 7
Sample 1621: True label = 16, Predicted = 7
Sample 1622: True label = 16, Predicted = 7
Sample 1623: True label = 16, Predicted = 6
Sample 1624: True label = 16, Predicted = 7
Sample 1625: True label = 16, Predicted = 7
Sample 1626: True label = 16, Predicted = 7
Sample 1627: True label = 16, Predicted = 7
Sample 1628: True label = 16, Predicted = 7
Sample 1629: True label = 16, Predicted = 7
Sample 1630: True label = 16, Predicted = 6
Sample 1631: True label = 16, Predicted = 7
Sample 1632: True label = 16, Predicted = 7
Sample 1633: True label = 16, Predicted = 7
Sample 1634: True label = 16, Predicted = 7
Sample 1635: True label = 16, Predicted = 7
Sample 1636: True label = 16, Predicted = 7
Sample 1637: True label = 16, Predicted = 7
Sample 1638: True label = 16, Predicted = 7
Sample 1639: True label = 16, Predicted = 7
Sample 1640: True label = 16, Predicted = 6
Sample 1641: True label = 16, Predicted = 7
Sample 1642: True label = 16, Predicted = 7
Sample 1643: True label = 16, Predicted = 7
Sample 1644: True label = 16, Predicted = 7
Sample 1645: True label = 16, Predicted = 7
Sample 1646: True label = 16, Predicted = 7
Sample 1647: True label = 16, Predicted = 7
Sample 1648: True label = 16, Predicted = 6
Sample 1649: True label = 16, Predicted = 7
Sample 1650: True label = 16, Predicted = 6
Sample 1651: True label = 16, Predicted = 7
Sample 1652: True label = 16, Predicted = 7
Sample 1653: True label = 16, Predicted = 7
Sample 1654: True label = 16, Predicted = 7
Sample 1655: True label = 16, Predicted = 7
Sample 1656: True label = 16, Predicted = 7
Sample 1657: True label = 16, Predicted = 7
Sample 1658: True label = 16, Predicted = 7
Sample 1659: True label = 16, Predicted = 7
Sample 1660: True label = 16, Predicted = 7
Sample 1661: True label = 16, Predicted = 7
Sample 1662: True label = 16, Predicted = 7
Sample 1663: True label = 16, Predicted = 7
Sample 1664: True label = 16, Predicted = 7
Sample 1665: True label = 16, Predicted = 7
Sample 1666: True label = 16, Predicted = 7
Sample 1667: True label = 16, Predicted = 7
Sample 1668: True label = 16, Predicted = 7
Sample 1669: True label = 16, Predicted = 7
Sample 1670: True label = 16, Predicted = 6
Sample 1671: True label = 16, Predicted = 7
Sample 1672: True label = 16, Predicted = 7
Sample 1673: True label = 16, Predicted = 11
Sample 1674: True label = 16, Predicted = 7
Sample 1675: True label = 16, Predicted = 7
Sample 1676: True label = 16, Predicted = 11
Sample 1677: True label = 16, Predicted = 7
Sample 1678: True label = 16, Predicted = 7
Sample 1679: True label = 16, Predicted = 7
Sample 1680: True label = 16, Predicted = 7
Sample 1681: True label = 16, Predicted = 7
Sample 1682: True label = 16, Predicted = 7
Sample 1683: True label = 16, Predicted = 7
Sample 1684: True label = 16, Predicted = 7
Sample 1685: True label = 16, Predicted = 11
Sample 1686: True label = 16, Predicted = 7
Sample 1687: True label = 16, Predicted = 7
Sample 1688: True label = 16, Predicted = 7
Sample 1689: True label = 16, Predicted = 7
Sample 1690: True label = 16, Predicted = 7
Sample 1691: True label = 16, Predicted = 7
Sample 1692: True label = 16, Predicted = 7
Sample 1693: True label = 16, Predicted = 6
Sample 1694: True label = 16, Predicted = 7
Sample 1695: True label = 16, Predicted = 7
Sample 1696: True label = 16, Predicted = 7
Sample 1697: True label = 16, Predicted = 7
Sample 1698: True label = 16, Predicted = 7
Sample 1699: True label = 16, Predicted = 7
Sample 1700: True label = 17, Predicted = 6
Sample 1701: True label = 17, Predicted = 6
Sample 1702: True label = 17, Predicted = 6
Sample 1703: True label = 17, Predicted = 11
Sample 1704: True label = 17, Predicted = 6
Sample 1705: True label = 17, Predicted = 6
Sample 1706: True label = 17, Predicted = 6
Sample 1707: True label = 17, Predicted = 6
Sample 1708: True label = 17, Predicted = 6
Sample 1709: True label = 17, Predicted = 6
Sample 1710: True label = 17, Predicted = 11
Sample 1711: True label = 17, Predicted = 6
Sample 1712: True label = 17, Predicted = 11
Sample 1713: True label = 17, Predicted = 6
Sample 1714: True label = 17, Predicted = 6
Sample 1715: True label = 17, Predicted = 6
Sample 1716: True label = 17, Predicted = 6
Sample 1717: True label = 17, Predicted = 6
Sample 1718: True label = 17, Predicted = 6
Sample 1719: True label = 17, Predicted = 6
Sample 1720: True label = 17, Predicted = 6
Sample 1721: True label = 17, Predicted = 6
Sample 1722: True label = 17, Predicted = 6
Sample 1723: True label = 17, Predicted = 6
Sample 1724: True label = 17, Predicted = 6
Sample 1725: True label = 17, Predicted = 6
Sample 1726: True label = 17, Predicted = 6
Sample 1727: True label = 17, Predicted = 6
Sample 1728: True label = 17, Predicted = 6
Sample 1729: True label = 17, Predicted = 6
Sample 1730: True label = 17, Predicted = 6
Sample 1731: True label = 17, Predicted = 6
Sample 1732: True label = 17, Predicted = 6
Sample 1733: True label = 17, Predicted = 6
Sample 1734: True label = 17, Predicted = 6
Sample 1735: True label = 17, Predicted = 6
Sample 1736: True label = 17, Predicted = 6
Sample 1737: True label = 17, Predicted = 6
Sample 1738: True label = 17, Predicted = 6
Sample 1739: True label = 17, Predicted = 6
Sample 1740: True label = 17, Predicted = 6
Sample 1741: True label = 17, Predicted = 6
Sample 1742: True label = 17, Predicted = 6
Sample 1743: True label = 17, Predicted = 6
Sample 1744: True label = 17, Predicted = 6
Sample 1745: True label = 17, Predicted = 6
Sample 1746: True label = 17, Predicted = 6
Sample 1747: True label = 17, Predicted = 6
Sample 1748: True label = 17, Predicted = 6
Sample 1749: True label = 17, Predicted = 6
Sample 1750: True label = 17, Predicted = 6
Sample 1751: True label = 17, Predicted = 6
Sample 1752: True label = 17, Predicted = 6
Sample 1753: True label = 17, Predicted = 6
Sample 1754: True label = 17, Predicted = 11
Sample 1755: True label = 17, Predicted = 6
Sample 1756: True label = 17, Predicted = 6
Sample 1757: True label = 17, Predicted = 6
Sample 1758: True label = 17, Predicted = 6
Sample 1759: True label = 17, Predicted = 6
Sample 1760: True label = 17, Predicted = 6
Sample 1761: True label = 17, Predicted = 11
Sample 1762: True label = 17, Predicted = 6
Sample 1763: True label = 17, Predicted = 6
Sample 1764: True label = 17, Predicted = 6
Sample 1765: True label = 17, Predicted = 6
Sample 1766: True label = 17, Predicted = 6
Sample 1767: True label = 17, Predicted = 6
Sample 1768: True label = 17, Predicted = 11
Sample 1769: True label = 17, Predicted = 6
Sample 1770: True label = 17, Predicted = 6
Sample 1771: True label = 17, Predicted = 6
Sample 1772: True label = 17, Predicted = 6
Sample 1773: True label = 17, Predicted = 6
Sample 1774: True label = 17, Predicted = 6
Sample 1775: True label = 17, Predicted = 6
Sample 1776: True label = 17, Predicted = 6
Sample 1777: True label = 17, Predicted = 6
Sample 1778: True label = 17, Predicted = 11
Sample 1779: True label = 17, Predicted = 6
Sample 1780: True label = 17, Predicted = 6
Sample 1781: True label = 17, Predicted = 6
Sample 1782: True label = 17, Predicted = 6
Sample 1783: True label = 17, Predicted = 6
Sample 1784: True label = 17, Predicted = 6
Sample 1785: True label = 17, Predicted = 6
